,TF,Target
0,1251,2798
1,3277,2093
2,339,312
3,1289,1844
4,339,1182
5,1289,3770
6,1289,691
7,1251,1059
8,486,2718
9,1235,2483
10,1932,1004
11,2217,2154
12,2753,3790
13,1289,933
14,1274,2614
15,1669,3719
16,3999,1702
17,1112,1183
18,1618,571
19,3999,293
20,621,3225
21,3276,1139
22,1618,431
23,1623,1282
24,628,3079
25,1247,3149
26,252,1317
27,621,1117
28,3276,1267
29,3295,3352
30,628,3293
31,1114,3199
32,621,2865
33,330,1959
34,1087,1341
35,3276,252
36,1618,1412
37,1932,2769
38,771,1728
39,1623,2984
40,1289,2891
41,2994,1461
42,2217,2959
43,621,2473
44,3331,2155
45,1932,3437
46,1932,2422
47,1289,1764
48,339,2978
49,1087,1656
50,3328,1636
51,771,1659
52,2217,531
53,2530,707
54,628,915
55,2994,388
56,252,1255
57,1618,1011
58,771,182
59,339,2303
60,1112,1988
61,621,1829
62,3295,2094
63,339,929
64,1235,1160
65,771,2152
66,1669,3215
67,330,252
68,621,2607
69,1112,1458
70,3935,3735
71,1669,1069
72,1820,3457
73,1112,2618
74,3332,1721
75,806,448
76,1618,3764
77,628,669
78,1251,2125
79,621,3665
80,3276,1540
81,2551,3527
82,1251,2023
83,806,1957
84,1247,312
85,1087,3907
86,2993,1114
87,1087,2326
88,2993,1580
89,1087,1724
90,2993,1243
91,3277,1608
92,806,1996
93,339,1339
94,3328,2174
95,621,3313
96,1932,2874
97,621,2873
98,3331,1800
99,2530,3824
100,1618,3259
101,806,3341
102,3333,3357
103,3935,3872
104,1112,3480
105,1820,3100
106,486,7
107,1932,309
108,314,3679
109,251,2563
110,621,2113
111,1289,3137
112,628,1302
113,1932,2088
114,1820,2598
115,3276,3551
116,3999,3771
117,1618,2833
118,2217,3640
119,486,1800
120,2551,2929
121,3276,3333
122,3276,2261
123,1112,3225
124,3276,2437
125,1820,1995
126,1289,138
127,1107,2640
128,3276,986
129,1235,1068
130,1114,1752
131,1289,1228
132,771,3069
133,339,1358
134,314,1581
135,2993,3806
136,1957,685
137,3396,1641
138,3331,12
139,3328,2579
140,1087,1391
141,1869,62
142,628,3284
143,1247,2303
144,1251,2096
145,1618,1022
146,1235,231
147,3333,3668
148,1107,2247
149,3428,1143
150,3431,1349
151,1932,359
152,1932,3547
153,1112,711
154,3277,1603
155,1087,681
156,621,1220
157,2735,3918
158,3332,411
159,3396,3644
160,3396,454
161,1235,3751
162,806,2412
163,2217,1387
164,1820,2507
165,1669,716
166,2530,2194
167,1251,2409
168,1112,1067
169,330,2261
170,1235,3556
171,1087,3534
172,1932,3216
173,3396,3073
174,621,1573
175,3428,3774
176,1112,1829
177,1087,1497
178,2217,3798
179,1112,3682
180,1112,3507
181,1247,2056
182,3277,2922
183,621,3371
184,621,1448
185,2551,2930
186,1957,1233
187,3396,3408
188,2993,620
189,1251,1604
190,2550,1183
191,339,3224
192,1932,17
193,1107,1251
194,1087,1928
195,1820,170
196,1932,757
197,1251,553
198,1618,389
199,339,1020
200,628,1518
201,1274,2542
202,1274,3029
203,2217,2953
204,339,2604
205,330,503
206,1087,3526
207,3396,293
208,3331,3425
209,1112,2873
210,3328,2814
211,3396,2564
212,2551,790
213,3431,685
214,1669,3880
215,339,3794
216,2993,1847
217,771,13
218,1235,3561
219,2217,3352
220,366,3959
221,1932,1740
222,771,1938
223,252,1631
224,1235,661
225,3332,1570
226,314,449
227,2993,264
228,1247,3729
229,621,393
230,486,3425
231,3277,457
232,3276,3242
233,252,724
234,2530,1961
235,1669,3145
236,1274,2589
237,3437,1740
238,806,2879
239,3276,2456
240,1251,819
241,2753,2992
242,1289,707
243,3276,291
244,806,3660
245,1932,1423
246,3431,2778
247,1618,251
248,1107,3160
249,3277,1252
250,806,1468
251,3331,2627
252,1820,1721
253,1251,2081
254,1235,494
255,1247,1935
256,2550,2693
257,2993,3358
258,2530,1164
259,621,2616
260,1235,3404
261,1235,3083
262,1251,84
263,486,2008
264,1114,2083
265,3277,2327
266,3431,1233
267,1623,1453
268,1669,1316
269,339,2005
270,1669,672
271,621,3838
272,252,1131
273,2993,918
274,252,3722
275,1618,228
276,3431,585
277,486,797
278,1251,1322
279,252,1270
280,1931,741
281,2550,2518
282,1107,1654
283,1247,1024
284,251,1273
285,771,1569
286,3428,3691
287,1087,2655
288,252,3183
289,3333,22
290,330,2456
291,3277,3291
292,1274,2055
293,1087,688
294,628,907
295,252,3508
296,3276,876
297,1107,1629
298,3276,658
299,2994,3371
300,1087,2461
301,1251,60
302,1274,1167
303,252,2993
304,3276,1605
305,3999,2561
306,252,3836
307,1618,2776
308,3328,1604
309,1247,2604
310,3276,2853
311,628,3467
312,1247,1913
313,330,2075
314,771,3691
315,1112,2605
316,771,3360
317,3276,1699
318,3277,2738
319,3277,1128
320,1247,3794
321,1107,1375
322,3276,2595
323,1932,1930
324,628,2443
325,806,2106
326,1247,2963
327,1274,25
328,3331,1001
329,1087,2811
330,806,2039
331,806,3958
332,771,3672
333,628,635
334,1087,2985
335,1235,1263
336,1289,1702
337,628,1388
338,314,256
339,628,2784
340,1932,3149
341,1618,1724
342,3437,1930
343,1087,1073
344,1932,3600
345,1274,3756
346,330,658
347,324,1828
348,3333,2091
349,339,150
350,3999,597
351,2993,1139
352,3999,3365
353,252,397
354,1957,1247
355,1087,2239
356,3328,3783
357,1820,220
358,330,3034
359,1289,3840
360,1289,1304
361,3276,2670
362,1820,1450
363,1820,2399
364,3428,2349
365,1932,843
366,3295,1958
367,2753,1281
368,1932,1692
369,252,2167
370,1112,1385
371,330,1699
372,2993,252
373,1289,912
374,1087,1057
375,1289,1507
376,1251,940
377,1289,2194
378,621,3021
379,3276,2644
380,2217,1061
381,1820,535
382,621,879
383,330,1147
384,621,2227
385,324,2503
386,1046,1644
387,3328,369
388,1820,2807
389,806,1723
390,1932,2512
391,3331,1911
392,771,2349
393,1274,769
394,621,2203
395,3331,3169
396,339,563
397,1618,1391
398,2550,328
399,621,774
400,1112,3838
401,628,3742
402,2530,2687
403,2735,2443
404,1247,3750
405,1070,2112
406,1087,50
407,2551,1237
408,366,299
409,1087,610
410,314,2089
411,486,1125
412,3396,1342
413,2994,2808
414,2753,1024
415,1932,2935
416,3396,1677
417,2993,1753
418,2530,3721
419,1618,681
420,3428,3657
421,1274,2323
422,2551,397
423,1618,3475
424,1932,312
425,3276,1929
426,1820,2960
427,1932,1182
