,Gene,index
0,ATF2,251
1,ATF3,252
2,BATF,314
3,BCL11A,324
4,BCL6,330
5,BHLHE40,339
6,BRD3,366
7,CBFB,486
8,CDK9,621
9,CEBPA,628
10,CREBBP,771
11,CTBP2,806
12,EGR1,1046
13,ELF1,1070
14,EP300,1087
15,ESRRA,1107
16,ETS1,1112
17,ETV6,1114
18,FLI1,1235
19,FOS,1247
20,FOXP1,1251
21,GABPA,1274
22,GATA3,1289
23,IKZF1,1569
24,IRF1,1618
25,IRF5,1623
26,JUND,1669
27,LMO2,1820
28,LYL1,1869
29,MAX,1931
30,MAZ,1932
31,MEF2C,1957
32,MYC,2117
33,NFATC1,2206
34,NFE2L2,2209
35,NFYB,2217
36,PML,2510
37,POLR2A,2530
38,POU2F1,2550
39,POU2F2,2551
40,RAD21,2735
41,RARA,2753
42,RUNX3,2993
43,RXRA,2994
44,SIN3A,3131
45,SPI1,3276
46,SPIB,3277
47,SREBF2,3295
48,STAT1,3328
49,STAT3,3330
50,STAT4,3331
51,STAT5A,3332
52,STAT5B,3333
53,TAF1,3396
54,TBL1XR1,3427
55,TBP,3428
56,TBX21,3431
57,TCF12,3437
58,TP53,3597
59,ZNF143,3935
60,ZZZ3,3999
